date,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
2020-06-12,1,0,0,0,0,0,0,0,0,0
2020-06-13,6,0,0,0,0,0,0,0,2,0
2020-06-14,1,0,0,0,0,0,0,0,0,1
2020-06-15,9,0,0,2,0,1,0,1,1,0
2020-06-16,2,0,0,1,0,0,0,0,2,0
2020-06-17,1,0,0,1,0,1,0,0,3,0
2020-06-18,12,1,1,1,0,0,0,0,1,0
2020-06-19,2,0,1,1,0,0,0,0,1,0
2020-06-20,1,0,0,1,0,0,0,0,0,0
2020-06-21,2,0,0,1,0,0,0,0,0,0
2020-06-22,0,0,0,0,0,0,0,0,0,0
2020-06-23,2,0,0,1,0,1,0,2,2,0
2020-06-24,2,0,0,2,0,0,0,0,0,0
2020-06-25,2,0,0,1,0,1,0,1,0,0
2020-06-26,0,0,1,2,0,0,0,0,0,0
2020-06-27,1,0,0,0,0,0,0,0,0,0
2020-06-28,0,0,0,0,0,1,0,0,0,0
2020-06-29,2,0,0,0,0,0,0,1,4,0
2020-06-30,1,0,0,0,0,0,0,1,0,0
2020-07-01,0,0,1,0,0,0,0,0,1,0
2020-07-02,0,0,0,0,0,2,0,1,1,0
2020-07-03,4,0,1,2,0,1,0,1,0,0
2020-07-04,1,0,1,0,0,0,0,0,0,0
2020-07-05,3,0,0,1,0,1,0,0,2,0
2020-07-06,5,0,0,1,0,0,0,0,1,0
2020-07-07,0,0,1,1,0,0,0,0,3,0
2020-07-08,2,0,0,2,0,0,0,0,1,0
2020-07-09,2,1,0,3,0,1,0,0,0,0
2020-07-10,2,0,0,2,0,0,0,0,0,0
2020-07-11,2,0,0,0,0,0,0,1,4,0
2020-07-12,1,1,0,0,0,0,0,0,3,0
2020-07-13,0,0,0,0,0,1,0,0,0,0
2020-07-14,0,0,0,2,0,0,0,0,0,0
2020-07-15,0,0,0,2,0,0,0,0,2,0
2020-07-16,0,0,0,4,0,0,0,0,0,0
2020-07-17,1,0,0,0,0,0,0,0,0,0
2020-07-18,0,0,0,0,0,3,0,0,1,0
2020-07-19,3,0,0,0,0,0,0,0,2,0
2020-07-20,2,0,0,0,0,1,0,0,0,0
2020-07-21,4,0,0,1,0,0,0,0,0,0
2020-07-22,6,0,0,0,0,1,0,0,0,0
2020-07-23,0,0,0,2,0,1,0,0,1,0
2020-07-24,3,0,0,1,0,0,0,0,0,0
2020-07-25,3,1,0,2,0,0,0,0,0,0
2020-07-26,0,0,0,0,0,0,0,0,0,0
2020-07-27,3,0,0,0,0,3,0,0,0,0
2020-07-28,1,0,0,0,0,1,0,0,5,0
2020-07-29,1,0,0,2,0,0,0,0,0,0
2020-07-30,4,0,0,1,0,0,0,0,0,0
2020-07-31,1,0,0,2,0,0,0,0,6,1
2020-08-01,1,0,0,2,0,0,0,0,1,0
